CO-BRANCH;OFFICE;PRODUCT;GROUP;Jan-25;Feb-25;Mar-25;Apr-25;Mei-25;Jun-25;Jul-25;Agu-25;Sep-25;Okt-25;Nov-25;Des-25;Jan-26;Feb-26;Mar-26;Apr-26;Mei-26;Jun-26;Jul-26;Agu-26;Sep-26
211 - MEDAN BALAIKOTA;211 - MEDAN BALAIKOTA;Auto_Loan;KOL2;27787530,94;0;0;26447545,89;25991921,34;0;25066957,95;24597527,52;24123402,79;0;23160882,17;0;0;21.680.705;21.177.412;20.669.086;0;0;19.113.405;0;0
211 - MEDAN BALAIKOTA;211 - MEDAN BALAIKOTA;Cicil_Emas;KOL2;0;0;0;0;0;0;0;111776161,4;99548023,2;423751715,7;706569338,4;502222390,7;0;0;0;0;0;0;0;1.258.340.063;1.100.773.549
211 - MEDAN BALAIKOTA;211 - MEDAN BALAIKOTA;KPR;KOL2;1530194085;2658643258;1773840755;2346054826;2428101389;1689304714;1517997380;1728933896;3040903948;2234261892;2744237551;1512786822;2.194.329.147;2.197.963.183;2.275.448.331;2.445.599.443;2.968.823.968;1.990.728.182;1.524.422.712;1.197.421.133;1.075.216.436
211 - MEDAN BALAIKOTA;211 - MEDAN BALAIKOTA;Multiguna;KOL2;0;0;104830030,5;0;49854742,4;202304955,1;195326016,8;188265380,3;183382049,4;100293446,6;120993873,8;45589692,25;89.805.938;101.204.069;138.508.389;65.633.002;16.587.146;223.881.185;45.344.373;0;0
211 - MEDAN BALAIKOTA;211 - MEDAN BALAIKOTA;Prohajj;KOL2;40435425,4;55443655,78;63751472,03;123050904,3;129343974;195445759,4;134736849,2;121712426,2;47175704;30269488,12;148798886;219740762,4;148.822.122;320.931.590;554.692.009;361.638.947;344.174.243;519.694.058;255.980.272;236.965.443;150.548.281
211 - MEDAN BALAIKOTA;211 - MEDAN BALAIKOTA;SME;KOL2;1984865340;141126891,6;1960376792;1926299482;356329969,6;351796280;866314946,6;851201679,8;2554916124;120617020,4;1788977763;118222690,6;113.361.962;113.361.962;110.895.081;717.723.663;691.209.811;664.457.832;659.298.071;95.567.033;95.567.033
482 - MEDAN BARU;214 - KCP BINJAI;Auto_Loan;KOL2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
482 - MEDAN BARU;214 - KCP BINJAI;Cicil_Emas;KOL2;0;0;0;98914100,97;104808193,9;7125921,69;0;0;0;3129987,67;2099592,04;1056316,46;0;0;0;0;0;0;0;140.034.711;1.073.209.959
482 - MEDAN BARU;214 - KCP BINJAI;KPR;KOL2;0;125829840;164006647;160569400,6;52790738,89;185154638,3;138920086,4;201446601,5;239284277,2;173401154;232498971,2;141845515;182.649.601;122.140.875;188.945.468;73.927.954;112.239.066;122.374.907;157.114.114;103.694.002;67.183.383
482 - MEDAN BARU;214 - KCP BINJAI;Multiguna;KOL2;61982765,44;51825102,11;51825102,11;51825102,11;179147203,9;179147203,9;128267202;170450485,2;42183283,19;39211604,22;134646985,1;133839713,8;133.672.030;133.503.647;473.830.442;127.080.916;126.910.419;126.739.213;126.567.293;0;17553976,6
482 - MEDAN BARU;214 - KCP BINJAI;Prohajj;KOL2;64802181,85;78233584,81;85613239,16;55109605,02;40006171,32;27106032,34;23627572,17;22700608,02;36036039,71;42102307,93;55598469,53;21666650,47;12.496.047;12.496.047;12.043.658;19.337.918;6.554.613;0;6.005.620;5.447.701;14.111.845
482 - MEDAN BARU;214 - KCP BINJAI;SME;KOL2;52630246,82;51048785,34;49447555,58;47826310,43;46184799,7;44522770,08;42839965,07;41136124,99;39410986,89;37664284,55;35895748,42;34105105,57;32.292.080;30.456.391;30.456.391;26.715.888;24.810.497;24.810.497;24.810.497;20.927.965;18.950.225
211 - MEDAN BALAIKOTA;215 - KCP SUKARAMAI;Auto_Loan;KOL2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
