CO-BRANCH;OFFICE;PRODUCT;GROUP;Jan-25;Feb-25;Mar-25;Apr-25;Mei-25;Jun-25;Jul-25;Agu-25;Sep-25;Okt-25;Nov-25;Des-25;Jan-26;Feb-26;Mar-26;Apr-26;Mei-26;Jun-26;Jul-26;Agu-26;Sep-26
211 - MEDAN BALAIKOTA;211 - MEDAN BALAIKOTA;Auto_Loan;Consumer;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
211 - MEDAN BALAIKOTA;211 - MEDAN BALAIKOTA;Cicil_Emas;Consumer;161857265;281104955;570574587;873741308;300934967;647742519;237210200;460242286;1004111830;1268106099;1323142000;4627765644;2.089.626.667;2075922598;4145374676;1876058957;299474469;511148400;971227022;464192844;237056866
211 - MEDAN BALAIKOTA;211 - MEDAN BALAIKOTA;KPR;Consumer;0;0;0;0;0;1294000000;543000000;450000000;0;1263000000;0;150000000;1070000000;0;0;653700000;0;237500000;0;0;0
211 - MEDAN BALAIKOTA;211 - MEDAN BALAIKOTA;Multiguna;Consumer;75000000;200000000;175000000;0;150000000;0;228490000;100000000;0;0;0;370000000;0;75000000;150000000;0;60000000;50000000;95000000;0;0
211 - MEDAN BALAIKOTA;211 - MEDAN BALAIKOTA;Prohajj;Consumer;0;0;0;0;0;0;560000000;270000000;630000000;560000000;350000000;210000000;630000000;140000000;0;0;428000000;308000000;308000000;1001000000;0
211 - MEDAN BALAIKOTA;211 - MEDAN BALAIKOTA;SME;SME;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
482 - MEDAN BARU;214 - KCP BINJAI;Auto_Loan;Consumer;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
482 - MEDAN BARU;214 - KCP BINJAI;Cicil_Emas;Consumer;11993911;454082778;146435780;804443094;33422349;47229780;0;15025471;75244800;179884000;175133800;879729836;3315718800;136105400;877439135;430796307;109399818;2883121833;184740400;462028510;20960270
482 - MEDAN BARU;214 - KCP BINJAI;KPR;Consumer;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
482 - MEDAN BARU;214 - KCP BINJAI;Multiguna;Consumer;0;0;0;0;0;0;0;700000000;0;350000000;0;390000000;50000000;100000000;100000000;312000000;0;116000000;100000000;100000000;49000000
482 - MEDAN BARU;214 - KCP BINJAI;Prohajj;Consumer;0;0;0;0;0;0;0;0;0;0;0;0;0;140000000;0;0;0;0;0;0;0
482 - MEDAN BARU;214 - KCP BINJAI;SME;SME;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
211 - MEDAN BALAIKOTA;215 - KCP SUKARAMAI;Auto_Loan;Consumer;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
211 - MEDAN BALAIKOTA;215 - KCP SUKARAMAI;Cicil_Emas;Consumer;197186941;103396703;7089680;225404760;433478998;46828780;123727290;68673000;266282800;599178999;274243000;698295813;616488000;536203879;206757607;489040586;155678268;263375799;94939659;539273426;98502644
211 - MEDAN BALAIKOTA;215 - KCP SUKARAMAI;KPR;Consumer;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
211 - MEDAN BALAIKOTA;215 - KCP SUKARAMAI;Multiguna;Consumer;0;0;20000000;183000000;110000000;50000000;150000000;49584000;20000000;45000000;0;140.000.000;0;0;0;0;200.000.000;0;0;0;0
211 - MEDAN BALAIKOTA;215 - KCP SUKARAMAI;Prohajj;Consumer;0;0;0;0;0;0;0;0;140000000;0;140000000;0;0;0;0;0;0;0;0;0;0
211 - MEDAN BALAIKOTA;215 - KCP SUKARAMAI;SME;SME;0;0;0;0;0;0;0;0;0;0;0;0;0;5000000000;0;2100000000;0;0;0;2139725304;0
221 - PEKANBARU;221 - PEKANBARU;Auto_Loan;Consumer;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
221 - PEKANBARU;221 - PEKANBARU;Cicil_Emas;Consumer;34178235;2543721590;363772773;1093865932;609571138;0;482855646;2001005520;838572000;1052875199;859435297;2.261.089.809;2.652.240.505;1930351612;1737638787;562044540;1963158249;774702820;3112388936;781256849;253797131
221 - PEKANBARU;221 - PEKANBARU;KPR;Consumer;0;0;0;0;0;170000000;0;0;148400000;0;214529603;0;0;0;200000000;250.000.000;495000000;0;0;0;0
221 - PEKANBARU;221 - PEKANBARU;Multiguna;Consumer;0;0;715500000;127200000;39000000;1070000000;190000000;200000000;24000000;40000000;232200000;232165000;0;50000000;0;0;20000000;102000000;115000000;137500000;0
221 - PEKANBARU;221 - PEKANBARU;Prohajj;Consumer;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;220000000;0;0;0;0;0
221 - PEKANBARU;221 - PEKANBARU;SME;SME;0;0;0;0;10000000000;0;0;0;0;0;0;5000000000;5500000000;0;0;200000000;0;0;0;3000000000;6175000000
221 - PEKANBARU;227 - KCP KAMPAR;Auto_Loan;Consumer;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
221 - PEKANBARU;227 - KCP KAMPAR;Cicil_Emas;Consumer;7824513;150921965;597289607;997288263;377795887;281887964;185541069;553680000;275726000;785575000;669509000;1391610462;4861915000;161.258.000;754438298;1102113032;260609903;400770430;837130487;457785613;90159138
221 - PEKANBARU;227 - KCP KAMPAR;KPR;Consumer;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
221 - PEKANBARU;227 - KCP KAMPAR;Multiguna;Consumer;0;140000000;108000000;406400000;404000000;485431000;402600000;388800000;136800000;408700000;115000000;264000000;195000000;200000000;65000000;70000000;95000000;86300000;136850000;99000000;206000000
221 - PEKANBARU;227 - KCP KAMPAR;Prohajj;Consumer;0;110000000;0;0;140000000;0;0;110000000;140000000;90000000;280000000;420000000;140000000;70000000;0;110000000;0;770000000;0;0;0
221 - PEKANBARU;227 - KCP KAMPAR;SME;SME;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
211 - MEDAN BALAIKOTA;230 - KCP SERDANG;Auto_Loan;Consumer;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
211 - MEDAN BALAIKOTA;230 - KCP SERDANG;Cicil_Emas;Consumer;12354811;674542151;13172851;48816739;22115151;47179655;37904123;71729600;79790793;1664253400;121215400;708837517;758129815;1656449953;962738448;112360202;769272391;757258375;677939380;264752232;370834083
211 - MEDAN BALAIKOTA;230 - KCP SERDANG;KPR;Consumer;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
211 - MEDAN BALAIKOTA;230 - KCP SERDANG;Multiguna;Consumer;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
211 - MEDAN BALAIKOTA;230 - KCP SERDANG;Prohajj;Consumer;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
211 - MEDAN BALAIKOTA;230 - KCP SERDANG;SME;SME;0;0;200000000;0;0;0;0;0;0;0;0;0;0;0;6500000000;0;0;0;500000000;0;0
