CO-BRANCH;OFFICE;PRODUCT;GROUP;Jan-25;Feb-25;Mar-25;Apr-25;Mei-25;Jun-25;Jul-25;Agu-25;Sep-25;Okt-25;Nov-25;Des-25;Jan-26;Feb-26;Mar-26;Apr-26;Mei-26;Jun-26;Jul-26;Agu-26;Sep-26
211 - MEDAN BALAIKOTA;211 - MEDAN BALAIKOTA;Auto_Loan;Consumer;90811298,17;88992445,72;87602051,69;86653378,26;85239593,55;83346888,4;82369469,22;80912845,42;79441655,38;77472098,8;76454992,48;74445847,82;72909987,8;71862062,14;70300364,28;68723049,44;66611418,22;0;63895833,51;61720217,75;61720218
211 - MEDAN BALAIKOTA;211 - MEDAN BALAIKOTA;Cicil_Emas;Consumer;315311770,7;585769295,8;1129659303;1959884554;2164994035;2710312720;2833781047;3177313123;4047209731;5117834303;6222557536;10551416158;12.210.821.053;13844926059;17370445921;18688977846;18447122017;18195425065;18582277481;18439774995;18454923009
211 - MEDAN BALAIKOTA;211 - MEDAN BALAIKOTA;KPR;Consumer;26259513737;25816312948;25339174714;24868355319;24255634185;25057217269;24946945637;24905963557;24407030637;25165026109;24675238613;24252365659;24619974877;23765131191;23235805001;23379483553;22680357789;22268650605;21648907543;21047642578;20955480189
211 - MEDAN BALAIKOTA;211 - MEDAN BALAIKOTA;Multiguna;Consumer;4160714463;4261297937;4242661824;4142217182;4193526101;4070688009;4072828875;3990481607;3893240143;3790810244;3692842839;3853451746;3756225047;3530500950;3577525062;3481981700;3455470027;3417404701;3416001544;3319395773;3295987932
211 - MEDAN BALAIKOTA;211 - MEDAN BALAIKOTA;Prohajj;Consumer;1021120070;959667527,6;913062028,5;845364470,8;810401681,9;782175367,5;1288981866;1508221446;2075659481;2479082056;2744896885;2858978289;3389522368;3425647303;3302705907;3165563768;3396216520;3576551441;3732162216;4600765842;4569106418
211 - MEDAN BALAIKOTA;211 - MEDAN BALAIKOTA;SME;SME;8902951551;8813438050;8747956447;8647937512;8569443872;8491870337;8396135018;8308767041;8239879238;8118961208;8035855185;7941856479;7848681553;7759721522;7559749492;7492704069;7401200858;7328134368;7237991635;7095130853;7095130853
482 - MEDAN BARU;214 - KCP BINJAI;Auto_Loan;Consumer;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
482 - MEDAN BARU;214 - KCP BINJAI;Cicil_Emas;Consumer;39195792,39;489877092,4;615731562,9;1395188323;1358627562;1330593774;1254482366;1193795953;1192382691;1207383347;1288892325;2065660788;5244460812;5185775026;5862708853;6063829225;5958272465;8617322007;8537511673;8730776424;8683803956
482 - MEDAN BARU;214 - KCP BINJAI;KPR;Consumer;2613163151;807027494;795018384,1;780206271,7;764772229;749942227,2;735496613,8;722509638,4;706054963,5;688959345,7;675558767;573303300,2;559904800,3;545273348,7;530599856,5;513683979,9;501838912,9;488812370,7;476721230,1;462065225,6;460887253
482 - MEDAN BARU;214 - KCP BINJAI;Multiguna;Consumer;1127708214;1096726775;1068170142;1039310912;1013836041;988093676,7;944669277,1;1596972501;1572084598;1893974158;1859392312;2219751521;2236399259;2302191647;2367516650;2643324473;2604427168;2681655498;2744065338;2806627852;2829881484
482 - MEDAN BARU;214 - KCP BINJAI;Prohajj;Consumer;529399841,5;516158129;500649528,3;485715606,1;469278649,6;453857584,5;438232520,8;422315353,8;407042002,6;393275674;334617089,2;318100118,5;303218678,4;429577952,3;412026512,7;394223526,2;376673233,2;359220868,2;338887805,9;320892866,9;316292053
482 - MEDAN BARU;214 - KCP BINJAI;SME;SME;52630246,82;51048785,34;49447555,58;47826310,43;46184799,7;44522770,08;42839965,07;41136124,99;39410986,89;37664284,55;35895748,42;34105105,57;32292079,67;30456390,93;30456390,93;26715888,25;24810497,07;24810497,07;24810497,07;20927964,78;18950225
211 - MEDAN BALAIKOTA;215 - KCP SUKARAMAI;Auto_Loan;Consumer;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
211 - MEDAN BALAIKOTA;215 - KCP SUKARAMAI;Cicil_Emas;Consumer;257589385;350007083,8;339737691,4;520734036,2;930712817,3;935508383,7;1008555237;1024686986;1232350804;1757896962;1918729269;2512713230;2966098308;3332694728;3378057930;3693527553;3650233855;3690328955;3585862261;3920982142;3945324763
211 - MEDAN BALAIKOTA;215 - KCP SUKARAMAI;KPR;Consumer;1981301862;1954142830;1857237070;1829574290;1799042533;1768819600;1748268911;1723424342;1698092237;1677103584;1653848533;1627884607;1605167400;1580247716;1554177158;1528969232;1508139894;1416438978;1394952951;1371627272;1366103283
211 - MEDAN BALAIKOTA;215 - KCP SUKARAMAI;Multiguna;Consumer;1.134.930.015;1.107.802.673;1.099.975.452;1.256.140.386;1.205.051.703;1.225.177.421;1.264.720.692;1.285.425.566;1.248.879.379;1.263.818.157;1.233.457.402;1.341.169.993;1307965691;1275138794;1242352121;1206951533;1.372.744.177;1327580396;1294928229;1262021251;1255950794
211 - MEDAN BALAIKOTA;215 - KCP SUKARAMAI;Prohajj;Consumer;292607112,6;283949437,2;275150836,1;266703818,6;258119655,2;249395988,3;241051785,2;231520492,8;362363724,4;342070270,9;462502446,1;435527627;409214795,4;384706687,6;355995323,6;329093931,8;304525821,6;274271173,1;246340874,6;218058574;215700412
211 - MEDAN BALAIKOTA;215 - KCP SUKARAMAI;SME;SME;2420900555;2387950346;2354766027;2321345525;2287686742;2253787558;2219645829;2185259389;2150626047;2121752217;2091277813;2064053964;2037882379;7012799399;6948795015;8985641125;8904158390;8822072278;8739378279;10795797155;10777373258
221 - PEKANBARU;221 - PEKANBARU;Auto_Loan;Consumer;288806987,6;282619965,2;276355605;276355605;263590992,3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
221 - PEKANBARU;221 - PEKANBARU;Cicil_Emas;Consumer;34.178.235;2.576.045.203;2.887.271.067;3.916.164.531;4.420.377.159;4.292.570.945;4.655.873.244;6.532.682.858;6.783.282.513;7.614.024.381;8.230.166.259;10.213.933.631;12.525.209.791;14042485858;15298518907;15307557614;16754073132;16145355404;18674381042;18850620464;18906259943
