CO-BRANCH;OFFICE;PRODUCT;GROUP;Jan-25;Feb-25;Mar-25;Apr-25;Mei-25;Jun-25;Jul-25;Agu-25;Sep-25;Okt-25;Nov-25;Des-25;Jan-26;Feb-26;Mar-26;Apr-26;Mei-26;Jun-26;Jul-26;Agu-26;Sep-26
211 - MEDAN BALAIKOTA;211 - MEDAN BALAIKOTA;MDIN;All;71;56;162;39;49;49;65;62;68;71;61;79;85;61;55;49;68;107;112;86;9
482 - MEDAN BARU;214 - KCP BINJAI;MDIN;All;27;31;18;14;21;21;42;25;31;30;29;18;31;22;34;33;22;34;30;23;5
211 - MEDAN BALAIKOTA;215 - KCP SUKARAMAI;MDIN;All;21;33;39;13;20;23;25;30;29;32;28;19;30;27;23;16;15;28;16;31;2
221 - PEKANBARU;221 - PEKANBARU;MDIN;All;104;76;85;63;70;64;113;86;78;80;64;107;60;53;121;56;68;75;104;105;18
221 - PEKANBARU;227 - KCP KAMPAR;MDIN;All;59;31;28;42;62;53;67;73;47;63;40;57;53;29;27;51;113;59;81;72;15
211 - MEDAN BALAIKOTA;230 - KCP SERDANG;MDIN;All;17;30;51;12;14;18;34;28;10;10;27;15;51;34;22;17;17;21;29;17;2
211 - MEDAN BALAIKOTA;231 - PADANGSIDIMPUAN;MDIN;All;48;47;110;30;52;84;68;48;99;82;49;62;178;62;57;94;38;53;48;40;6
211 - MEDAN BALAIKOTA;233 - KCP PANYABUNGAN;MDIN;All;17;26;11;16;31;19;46;24;23;49;30;48;55;40;31;47;30;67;55;13;5
241 - BANDA ACEH;241 - BANDA ACEH;MDIN;All;30;47;71;41;58;29;45;41;37;29;22;29;75;42;40;56;120;207;29;47;6
482 - MEDAN BARU;251 - PEMATANG SIANTAR;MDIN;All;12;30;27;22;14;44;12;11;20;30;15;18;22;14;26;14;18;18;17;22;1
482 - MEDAN BARU;252 - KCP KISARAN;MDIN;All;12;25;22;30;34;102;28;16;24;20;21;35;14;11;12;63;48;61;33;37;11
241 - BANDA ACEH;261 - LANGSA;MDIN;All;35;30;21;26;34;53;63;42;60;23;24;17;175;32;47;35;25;34;46;44;8
241 - BANDA ACEH;262 - KCP LHOKSEUMAWE;MDIN;All;23;32;11;21;103;22;26;57;21;36;26;20;194;27;52;60;41;45;79;44;5
351 - LAMPUNG;351 - LAMPUNG;MDIN;All;77;77;65;115;78;73;168;98;84;97;66;142;78;44;54;84;71;110;118;100;33
351 - LAMPUNG;352 - KCP BANDAR JAYA;MDIN;All;31;14;8;26;30;19;27;27;21;20;15;27;18;15;18;30;16;25;43;20;8
