CO-BRANCH;OFFICE;PRODUCT;GROUP;Jan-25;Feb-25;Mar-25;Apr-25;Mei-25;Jun-25;Jul-25;Agu-25;Sep-25;Okt-25;Nov-25;Des-25;Jan-26;Feb-26;Mar-26;Apr-26;Mei-26;Jun-26;Jul-26;Agu-26;Sep-26
211 - MEDAN BALAIKOTA;211 - MEDAN BALAIKOTA;Deposito;TD;68.656.605.135;69.503.110.608;70.247.858.171;66.972.150.956;68.660.925.030;66.299.243.632;72.419.094.602;69.973.080.114;76.230.111.024;76.191.854.773;74.081.340.443;76.380.221.787;76.753.565.758;76.713.019.727;84.339.289.702;86.105.362.634;84.569.983.660;83.054.524.537;85.466.481.852;85.233.644.020;85.003.908.916
211 - MEDAN BALAIKOTA;211 - MEDAN BALAIKOTA;Giro;CASA;2.156.283.164;2.006.678.321;2.007.074.250;2.007.482.901;2.007.897.357;2.008.308.224;2.008.715.313;2.560.312.551;2.566.234.605;2.726.484.608;2.351.882.210;2.352.571.939;2.353.263.831;2.353.913.063;2.204.745.186;2.215.604.977;1.814.377.477;2.340.061.315;1.880.926.172;2.044.522.685;2.044.599.485
211 - MEDAN BALAIKOTA;211 - MEDAN BALAIKOTA;Tabungan;CASA;50.888.875.676;49.863.322.727;48.042.522.813;47.541.280.347;48.623.094.574;49.295.706.782;50.633.510.843;51.678.626.218;49.609.485.893;49.363.616.390;49.293.429.057;49.383.375.251;47.213.367.062;46.243.606.675;46.571.028.407;44.762.397.389;43.851.908.655;45.325.579.605;43.651.793.396;41.979.648.818;41.720.626.113
211 - MEDAN BALAIKOTA;215 - KCP SUKARAMAI;Deposito;TD;27.134.308.027;27.026.304.615;29.562.854.109;28.063.435.429;28.578.307.528;29.302.633.167;29.315.088.958;30.327.721.825;30.532.839.577;29.413.246.594;25.738.924.335;25.680.907.412;25.831.529.588;25.982.021.763;26.042.734.171;25.643.743.139;27.195.961.372;27.338.165.767;26.585.449.433;29.366.202.084;26.082.559.862
211 - MEDAN BALAIKOTA;215 - KCP SUKARAMAI;Giro;CASA;211.900.200;161.880.200;100.862.700;100.845.200;100.827.700;100.807.700;787.700;770.200;752.700;732.700;712.700;0;0;0;0;0;0;0;0;2162590032;0
211 - MEDAN BALAIKOTA;215 - KCP SUKARAMAI;Tabungan;CASA;13.058.704.943;13.001.873.212;12.783.399.719;10.687.679.366;9.954.062.068;11.825.251.473;10.789.935.910;9.575.689.885;9.999.223.664;9.521.544.871;11.786.170.327;12.222.980.195;8.948.385.753;9.028.743.764;8.891.569.845;9.608.522.969;8.828.293.714;7.661.037.735;7.397.502.744;8.897.700.062;7.413.377.855
211 - MEDAN BALAIKOTA;230 - KCP SERDANG;Deposito;TD;26.878.653.197;25.321.433.914;32.714.197.226;31.116.544.583;30.788.302.408;29.251.694.634;29.255.535.797;29.131.849.081;34.129.229.592;30.820.079.705;25.701.437.696;26.605.179.580;20.356.019.329;23.803.318.591;28.305.533.548;30.337.903.978;30.765.218.086;29.338.736.907;30.265.413.540;9.502.000.000;26.091.202.084
211 - MEDAN BALAIKOTA;230 - KCP SERDANG;Giro;CASA;2.663.372.938;2.664.637.303;2.664.984.295;2.666.080.709;2.723.442.887;2.678.787.609;2.670.944.054;2.672.356.363;2.672.636.744;2.674.180.141;2.148.713.325;2150281654;2151851142;2153330896;2154951907;2156490713;2158048313;2158048313;2158048313;0;2162590032
211 - MEDAN BALAIKOTA;230 - KCP SERDANG;Tabungan;CASA;14.684.715.721;14.562.385.303;15.923.498.219;16.015.669.331;15.262.624.390;14.161.848.874;14.122.488.824;14.227.699.887;10.171.376.861;11.243.228.406;10.914.851.923;11.597.537.194;14.741.172.093;12.174.321.791;13.182.911.184;12.330.008.018;13.112.960.813;9.690.085.120;9.748.668.339;5.311.764.835;11.562.433.059
211 - MEDAN BALAIKOTA;231 - PADANG SIDEMPUAN;Deposito;TD;10.697.872.228;10.949.212.821;11.200.471.068;11.701.936.525;11.473.439.177;11.964.964.145;12.306.470.516;11.958.458.021;11.270.413.393;11.262.155.772;12.164.162.754;12.515.941.052;12.467.773.739;12.469.812.663;13.031.661.580;12.932.834.744;12.934.351.441;12.435.918.626;11.528.235.420;6.506.000.000;10.482.244.247
