CO-BRANCH;OFFICE;PRODUCT;GROUP;Jan-25;Feb-25;Mar-25;Apr-25;Mei-25;Jun-25;Jul-25;Agu-25;Sep-25;Okt-25;Nov-25;Des-25;Jan-26;Feb-26;Mar-26;Apr-26;Mei-26;Jun-26;Jul-26;Agu-26;Sep-26
211 - MEDAN BALAIKOTA;211 - MEDAN BALAIKOTA;ASHA;REFERRAL;0;0;;;;48.000.000;24.000.000;;16.000.000;135.000.000;;16.000.000;;16.000.000;16.000.000;30.000.000;16.000.000;20.000.000;16.000.000;20.000.000;
211 - MEDAN BALAIKOTA;211 - MEDAN BALAIKOTA;ASHAR;REFERRAL;0;0;;;;;;;;;;;67.608.000;102.638.600;;;;;;;
211 - MEDAN BALAIKOTA;211 - MEDAN BALAIKOTA;Hijrah Cendekia;DISTRIBUSI;0;0;;;;;;;;0;;;;;;;3.600.000;;;;
211 - MEDAN BALAIKOTA;211 - MEDAN BALAIKOTA;SAHAJA;DISTRIBUSI;0;0;;;;;;;;12.000.000;12.000.000;37.500.000;;;;;;;12.000.000;;
211 - MEDAN BALAIKOTA;215 - KCP SUKARAMAI;ASHA;REFERRAL;0;0;;;;24.000.000;;;;;;;;;16.000.000;;;;12.000.000;;
211 - MEDAN BALAIKOTA;215 - KCP SUKARAMAI;Hijrah Cendekia;DISTRIBUSI;0;0;3.600.000;;;;;;;;;;;;;;;;;;
211 - MEDAN BALAIKOTA;215 - KCP SUKARAMAI;SAHAJA;DISTRIBUSI;0;0;;;;;;;;;15.000.000;60.000.000;;;;;;;;;
211 - MEDAN BALAIKOTA;215 - KCP SUKARAMAI;SHIFA;REFERRAL;0;0;;;;;;;;;;;;;;3.513.120;;;;;
211 - MEDAN BALAIKOTA;230 - KCP SERDANG;ASHA;REFERRAL;0;0;;;;20.000.000;;;16.000.000;;;36.000.000;;;;;;;16.000.000;60000000;
211 - MEDAN BALAIKOTA;230 - KCP SERDANG;SAHAJA;DISTRIBUSI;0;0;;;;;;;;7.500.000;30.000.000;45.900.000;;;;;;;;;
211 - MEDAN BALAIKOTA;231 - PADANGSIDIMPUAN;ASHA;REFERRAL;0;0;;;;;15.000.000;;;;;;;;;;;;;;
211 - MEDAN BALAIKOTA;231 - PADANGSIDIMPUAN;SAHAJA;DISTRIBUSI;0;0;;;;;;;7.500.000;7.500.000;636.000.000;792.000.000;;;;7.500.000;;;;30.000.000;
211 - MEDAN BALAIKOTA;233 - KCP PANYABUNGAN;ASHA;REFERRAL;0;0;;;;;;;;;80.000.000;20.000.000;;;;;;;20.000.000;;
211 - MEDAN BALAIKOTA;233 - KCP PANYABUNGAN;SAHAJA;DISTRIBUSI;0;0;;;;;;;6.750.000;;168.000.000;66.000.000;;;;;;;;7500000;
211 - MEDAN BALAIKOTA;233 - KCP PANYABUNGAN;SHIFA;REFERRAL;0;0;;;;;;;;;;;;;;;;;1.478.000;;
221 - PEKANBARU;221 - PEKANBARU;ASHA;REFERRAL;0;0;;;;;25.000.000;;;;;;;;;;;;;;
221 - PEKANBARU;221 - PEKANBARU;SAHAJA;DISTRIBUSI;0;0;;;;;;;;7.500.000;7.500.000;172.680.000;;;;;;;7.500.000;;
221 - PEKANBARU;227 - KCP KAMPAR;ASHA;REFERRAL;0;0;;;;;;;;16.000.000;;;;;;;;16.000.000;16.000.000;;
221 - PEKANBARU;227 - KCP KAMPAR;SAHAJA;DISTRIBUSI;0;0;;;;;;;7.500.000;;15.000.000;7.500.000;;;;;;;;;
221 - PEKANBARU;411 - BATAM;ASHAR;REFERRAL;0;0;;;;;;;;;;;53.763.200;;;;;;;;
221 - PEKANBARU;411 - BATAM;Hijrah Cendekia;DISTRIBUSI;0;0;;;;;;3.600.000;50.000.000;;;;;;;;;;;;
221 - PEKANBARU;411 - BATAM;SAHAJA;DISTRIBUSI;0;0;;;;;;;7.500.000;7.500.000;25.500.000;66.780.000;;;;;;12.000.000;12.000.000;;
221 - PEKANBARU;451 - TANJUNG PINANG;Hijrah Cendekia;DISTRIBUSI;0;0;4.000.000;;;;;;;;;;;;;;;;;;
221 - PEKANBARU;451 - TANJUNG PINANG;SAHAJA;DISTRIBUSI;0;0;;;;;;;;;35.400.000;57.000.000;;;;;;;;;
241 - BANDA ACEH;241 - BANDA ACEH;Hijrah Cendekia;DISTRIBUSI;0;0;4.800.000;;;;6.000.000;;;;;;;;0;;;3.600.000;;;
241 - BANDA ACEH;241 - BANDA ACEH;SAHAJA;DISTRIBUSI;0;0;;;;;;;;;30.000.000;240.000.000;;;7.500.000;;;;15.000.000;;
241 - BANDA ACEH;261 - LANGSA;ASHA;REFERRAL;0;0;12.000.000;28.000.000;36.000.000;12.000.000;76.000.000;38.000.000;66.000.000;32.000.000;16.000.000;32.000.000;16.000.000;32.000.000;20.000.000;32.000.000;32.000.000;48.000.000;16.000.000;36.000.000;
241 - BANDA ACEH;261 - LANGSA;SAHAJA;DISTRIBUSI;0;0;;;;;;;;;;;;;6.000.000;;;;;;
241 - BANDA ACEH;261 - LANGSA;SHIFA;REFERRAL;0;0;;;;;;;;;;;;;;;;2.896.400;;;
241 - BANDA ACEH;262 - KCP LHOKSEUMAWE;ASHA;REFERRAL;0;0;36.000.000;36.000.000;118.000.000;105.000.000;135.000.000;116.000.000;116.000.000;142.000.000;95.000.000;129.000.000;102.000.000;125.000.000;73.000.000;141.000.000;122.000.000;77.000.000;161.000.000;121.000.000;25000000
241 - BANDA ACEH;262 - KCP LHOKSEUMAWE;SAHAJA;DISTRIBUSI;0;0;;;;;30.000.000;;;12.000.000;12.000.000;27.600.000;15.600.000;15.600.000;;31.200.000;15.600.000;15.600.000;18.840.000;13000000;
351 - LAMPUNG;351 - LAMPUNG;ASHA;REFERRAL;0;0;;20.000.000;20.000.000;67.000.000;52.000.000;20.000.000;;50.000.000;40.000.000;;;;16.000.000;16.000.000;16.000.000;20.000.000;20.000.000;;
351 - LAMPUNG;351 - LAMPUNG;Hijrah Cendekia;DISTRIBUSI;0;0;;;3.600.000;;;;15.600.000;7.200.000;;0;;;;;;18.000.000;;;
351 - LAMPUNG;351 - LAMPUNG;SAHAJA;DISTRIBUSI;0;0;20.000.000;;;;;;;;7.500.000;;;;;;;15.000.000;;;
351 - LAMPUNG;351 - LAMPUNG;SHIFA;REFERRAL;0;0;;;;;;;;;;;;;;;;1.658.800;;;
351 - LAMPUNG;352 - KCP BANDAR JAYA;ASHA;REFERRAL;0;0;12.000.000;48.000.000;36.000.000;36.000.000;75.000.000;48.000.000;16.000.000;32.000.000;32.000.000;16.000.000;16.000.000;16.000.000;16.000.000;;;8.000.000;;32.000.000;
351 - LAMPUNG;352 - KCP BANDAR JAYA;Hijrah Cendekia;DISTRIBUSI;0;0;3.600.000;;;;;;;;;;;;;;;;;;
351 - LAMPUNG;352 - KCP BANDAR JAYA;SAHAJA;DISTRIBUSI;0;0;;;;;;;;;12.000.000;15.000.000;;;;;;;12.000.000;;
351 - LAMPUNG;353 - KCP METRO LAMPUNG;ASHA;REFERRAL;0;0;;;16.000.000;16.000.000;;24.000.000;16.000.000;32.000.000;16.000.000;36.000.000;16.000.000;;;16.000.000;16.000.000;16.000.000;68.000.000;;
351 - LAMPUNG;353 - KCP METRO LAMPUNG;SAHAJA;DISTRIBUSI;0;0;;;;;;;;;12.000.000;15.000.000;;;;;;28.500.000;;;
